ID,Source,Date Published,Pages,Title,Inventer,Filing Date,Applicant Name,Patent Number,Relevency
1,US-PGPUB,2024-10-10,38,UTILIZING REGULARIZED FORWARD DIFFUSION FOR IMPROVED INVERSION OF DIGITAL IMAGES,Li; Yijun et al.,2023-03-03,Adobe Inc.,20240338799,3.9139316
2,US-PGPUB,2024-10-10,64,ASSET PORTFOLIO FOR ADAPTIVE POWER GRID MANAGEMENT,Sharif-Askary; Jamshid,2023-04-06,GE INFRASTRUCTURE TECHNOLOGY LLC,20240338781,3.4200933
3,US-PGPUB,2024-10-10,20,TEXT AND IMAGE GENERATION FOR CREATION OF IMAGERY FROM AUDIBLE INPUT,TRZYNA; Alexander Ian Pfister,2023-04-05,"Microsoft Technology Licensing, LLC",20240338860,3.454166
4,US-PGPUB,2024-10-10,19,MACHINE LEARNING BASED DEFECT EXAMINATION FOR SEMICONDUCTOR SPECIMENS,OFIR; Yehonatan Hai et al.,2023-04-04,Applied Materials Israel Ltd.,20240338811,4.4205723
5,US-PGPUB,2024-10-10,11,ELECTRICAL SUBMERSIBLE PUMP Y-TOOL WITH PERMANENT COILED TUBING PLUG AND MILLABLE BALL VALVE,ALNAFEA; Abdulkareem K. et al.,2023-04-05,SAUDI ARABIAN OIL COMPANY,20240337175,3.9288812
6,US-PGPUB,2024-10-10,40,GUARD PERIODS OR GAPS BETWEEN SYMBOLS OR SLOTS OR WITHIN A SLOT,ZHANG; Qian et al.,2023-04-05,QUALCOMM Incorporated,20240340205,3.5765898
7,US-PGPUB,2024-10-10,16,SYSTEMS AND METHODS FOR CONTRASTING GRAPH DATA STRUCTURES,SHARPE; Samuel et al.,2023-04-06,"Capital One Services, LLC",20240338630,4.517361
8,US-PGPUB,2024-10-10,30,MACHINE LEARNING SYSTEM FOR AUTOMATED DETECTION OF SUSPICIOUS DIGITAL IDENTIFIERS,Radon; Aungon Nag et al.,2023-04-04,"Lookout, Inc.",20240340312,5.13618
9,US-PGPUB,2024-10-10,50,EFFICIENT CODEBOOK-BASED INTERFERENCE PREDICTION REPORTING,MARZBAN; Mohamed Fouad Ahmed et al.,2023-04-04,QUALCOMM Incorporated,20240340125,2.2130291
10,US-PGPUB,2024-10-10,40,Surgical Simulator Systems and Methods,Ueltschi; Albert Lee et al.,2023-04-04,"Help Me See, Inc.",20240339043,3.1872573
11,US-PGPUB,2024-10-10,34,OPTICAL CHARACTER RECOGNITION FOR AUGMENTED IMAGES,Dela Rosa; Kevin Sarabia et al.,2023-04-06,Snap Inc.,20240338900,5.594781
12,US-PGPUB,2024-10-10,37,SIDELINK RETRANSMISSION OF MESSAGES,ZORGUI; Marwen et al.,2023-04-06,QUALCOMM Incorporated,20240340108,4.272005
13,US-PGPUB,2024-10-10,21,APPLYING DIFFUSION MODELS IN ADVERSARIAL PURIFICATION AND ADVERSARIAL SAMPLE GENERATION IN CYBERSECURITY,Popa; Cristian Viorel et al.,2023-04-07,"CrowdStrike, Inc.",20240338445,3.5986195
14,US-PGPUB,2024-10-10,19,UNBIASED MACHINE LEARNING AND OFF-POLICY EVALUATION IN THE PRESENCE OF BIASED FEEDBACK,Arnold; Matthew Richard et al.,2023-04-05,International Business Machines Corporation,20240338591,5.7229595
15,US-PGPUB,2024-10-10,20,Holographic and Physical Mixed-Reality Casino Accommodation System and Method,Kim; Heekwan,2023-04-08,"DoubleMe, Inc.",20240338993,6.0029774
16,US-PGPUB,2024-10-10,39,DISPLACEMENT POSITIONING SIGNALING AND REPORTING,HIRZALLAH; Mohammed Ali Mohammed et al.,2023-04-04,QUALCOMM Incorporated,20240337720,4.229308
17,US-PGPUB,2024-10-10,14,SYSTEMS AND METHODS FOR EMULATING AND TESTING DATA FLOWS IN DISTRIBUTED COMPUTING SYSTEMS,Liu; Winston Wencheng et al.,2023-04-05,"Keysight Technologies, Inc.,Keysight Technologies RO SRL",20240338307,5.4742203
18,US-PGPUB,2024-10-10,20,COMPUTERIZED SYSTEMS AND METHODS FOR DYNAMIC AUTOMATION OF SECURITY FEATURES FOR A LOCATION,SAMARDZIJA; Miro et al.,2023-04-05,"PLUME DESIGN, INC.",20240338987,3.3142037
19,US-PGPUB,2024-10-10,26,DISCOVERING AND APPLYING DESCRIPTIVE LABELS TO UNSTRUCTURED DATA,PAULI; Wolfgang Martin et al.,2023-04-05,"Microsoft Technology Licensing, LLC",20240338532,4.93323
20,US-PGPUB,2024-10-10,35,SELF-HEALING NETWORK SLICES USING INTEGRATED MOBILE EDGE COMPUTING AND MULTI CONNECTIVITY,Rahman; Moshiur et al.,2023-04-04,"AT&amp;T Intellectual Property I, L.P.",20240340708,5.5787935
21,US-PGPUB,2024-10-10,23,INTEGRATING DATA FROM MULTIPLE UNRELATED DATA STRUCTURES,NOWAK; Matthew et al.,2023-04-10,"Capital One Services, LLC",20240338715,4.862218
22,US-PGPUB,2024-10-10,42,SYSTEM ARCHITECTURE FOR DIRECT NTN COMMUNICATION WITHOUT A FEEDER LINK,JI; Lianghai et al.,2023-04-04,QUALCOMM Incorporated,20240340980,3.7330537
23,US-PGPUB,2024-10-10,18,STRUCTURAL TREND PREDICTOR FOR 2D CROSS SECTIONS,Stewart; Simon A.,2023-04-05,Saudi Arabian Oil Company,20240337766,3.5082245
24,US-PGPUB,2024-10-10,15,COMBINED EYE AND ENVIRONMENT SENSING FOR A HEAD-MOUNTED DEVICE,An; Yatong et al.,2023-04-06,"Meta Platforms Technologies, LLC",20240337840,6.274919
25,US-PGPUB,2024-10-10,25,METHODS AND SYSTEMS FOR DISPLAYING QUALITY PROFILES POINTS IN AN ELECTRO-ANATOMICAL MAP,Novogrodsky; Ben Ami,2023-03-31,Biosense Webster (Israel) Ltd.,20240335169,3.310631
26,US-PGPUB,2024-10-10,18,System and Method for Mapping an Anatomical Pathway,Sowards; Steffan et al.,2023-04-10,"Bard Access Systems, Inc.",20240335237,5.4658523
27,US-PGPUB,2024-10-10,30,AUTOMATED FLEET-CONNECTED CHARGING SYSTEM,Ferguson; Kenneth et al.,2023-04-06,GM Cruise Holdings LLC,20240336156,3.0512855
28,US-PGPUB,2024-10-10,48,COLLECTING DATA FOR TRAINING A WIRELESS DEVICE POSITIONING MODEL,HIRZALLAH; Mohammed Ali Mohammed et al.,2023-04-04,QUALCOMM Incorporated,20240340136,4.3293757
29,US-PGPUB,2024-10-10,40,STARTING PORT FOR ANTENNA SUBARRAY,LUO; Jianghong et al.,2023-04-06,QUALCOMM Incorporated,20240340048,3.7264488
30,US-PGPUB,2024-10-10,12,PARALLEL COMPUTATION ON INPUT VECTORS BY ORTHOGONAL REPRESENTATION,Cohen; Guy M. et al.,2023-04-06,International Business Machines Corporation,20240338214,5.4278145
31,US-PGPUB,2024-10-10,47,ARTIFICIAL INTELLIGENCE MODEL DELIVERY VIA RADIO CONTROL PLANE,Esswie; Ali,2023-04-06,"Dell Products, L.P.",20240340129,6.4551773
32,US-PGPUB,2024-10-10,20,ELECTROSTATIC DISCHARGE (ESD) HARVEST FOR WEARABLE DEVICES,PICHUMANI; Pradip Sairam et al.,2023-04-04,"Meta Platforms Technologies, LLC",20240339942,5.943272
33,US-PGPUB,2024-10-10,12,TESTING MEMBERSHIP IN DISTRIBUTIONAL SIMPLEX,Sarpatwar; Kanthi et al.,2023-03-28,INTERNATIONAL BUSINESS MACHINES CORPORATION,20240338595,3.898472
34,US-PGPUB,2024-10-10,17,FRAMEWORK FOR CENTRALIZED MONITORING THE HEALTH OF REMOTE PACKET DATA NODES OF ROAMING PEERING PARTNERS OVER PUBLIC CLOUD,"Weber, JR.; Kenneth William et al.",2023-04-10,DISH WIRELESS L.L.C.,20240340230,4.1132636
35,US-PGPUB,2024-10-10,20,WEB CONFERENCING EXIT AND POST-EXIT CONTENT GENERATION,SRINIVASARAGHAVAN; Ramesh et al.,2023-04-05,ADOBE INC.,20240340321,3.4439409
36,US-PGPUB,2024-10-10,20,METHOD AND SYSTEM FOR FACILITATING PERMISSION MANAGMENT,GEROVICH; Pavel et al.,2023-04-10,"JPMorgan Chase Bank, N.A.",20240340316,3.310575
37,US-PGPUB,2024-10-10,41,DATA COLLECTION AND TRAINING FOR A NETWORK POSITIONING MODEL,HIRZALLAH; Mohammed Ali Mohammed et al.,2023-04-04,QUALCOMM Incorporated,20240337721,4.423788
38,US-PGPUB,2024-10-10,31,RANDOM ACCESS CHANNEL COLLISION DURING TIMING ADJUSTMENT ACQUISITION FOR LAYER 1 OR LAYER 2 TRIGGERED MOBILITY,AKL; Naeem et al.,2023-04-07,QUALCOMM Incorporated,20240340961,3.9849987
39,US-PGPUB,2024-10-10,63,SCOUT COMMAND FOR ADAPTIVE POWER GRID MANAGEMENT,Sharif-Askary; Jamshid,2023-04-06,GE INFRASTRUCTURE TECHNLOLOGY LLC,20240339835,3.595828
40,US-PGPUB,2024-10-10,25,Autonomous Operation of User Equipment With Artificial Intelligence/Machine Learning Model Capability,Shrivastava; Rudraksh,2023-04-06,SHARP Kabushiki Kaisha,20240340634,6.3905544
41,US-PGPUB,2024-10-10,12,TELEVISION FOOD DETECTION,DeMerchant; Marvin et al.,2023-04-04,Sony Group Corporation,20240340504,5.9051094
42,US-PGPUB,2024-10-10,20,PACKAGING SYSTEMS AND METHODS FOR SEMICONDUCTOR DEVICES,Zhao; Sam Ziqun et al.,2023-04-06,Avago Technologies International Sales Pte. Limited,20240339429,3.4607985
43,US-PGPUB,2024-10-10,31,INTERFERENCE MITIGATION FOR A USER EQUIPMENT,ZHANG; Qian et al.,2023-04-06,QUALCOMM Incorporated,20240340941,3.918306
44,US-PGPUB,2024-10-10,18,SYSTEMS AND METHODS FOR ESTABLISHING LOCAL AREA NETWORK LINKS FOR DEVICES BASED ON QUALITY OF SERVICE,ABABRI; Zainab et al.,2023-04-06,Verizon Patent and Licensing Inc.,20240340243,3.6923063
45,US-PGPUB,2024-10-10,63,DATA MANAGEMENT FOR ADAPTIVE POWER GRID MANAGEMENT,Sharif-Askary; Jamshid,2023-04-06,GE INFRASTRUCTURE TECHNOLOGY LLC,20240337999,3.5775347
46,US-PGPUB,2024-10-10,64,LOGISTICIAN MODULE FOR ADAPTIVE POWER GRID MANAGEMENT,Sharif-Askary; Jamshid,2023-04-06,GE INFRASTRUCTURE TECHNOLOGY LLC,20240337997,3.4360833
47,US-PGPUB,2024-10-10,18,SOFTWARE DEPENDENCY MANAGEMENT AND TESTING SYSTEM,Bendert; David P. et al.,2023-04-04,"Bendert; David P.,Frye; Jason Franklin,Fuchs; Maximilian,Giannoulis; Jennifer Marie,Punniyamoorthy; Magesh,Spain; Matthew O.",20240338310,3.4430978
48,US-PGPUB,2024-10-10,26,APPARATUS AND METHOD FOR VIRTUAL EVENT ELEMENT GENERATION BASED ON AN ACTUAL ACTION OF AN ENTITY,Donnell; Scott et al.,2023-04-06,"Gravystack, Inc.",20240338891,4.48381
49,US-PGPUB,2024-10-10,49,"MOUNTING SYSTEM, AND METHODS THEREOF",BATHON; Michael et al.,2023-04-06,Ferroelectric Memory GmbH,20240337681,4.010332
50,US-PGPUB,2024-10-10,20,USING A NATIVE LOGIN SCREEN TO LOG IN TO AN ALTERNATE SYSTEM,BRINKHOFF; Christiaan et al.,2023-04-05,"Microsoft Technology Licensing, LLC",20240340280,5.0796785
51,US-PGPUB,2024-10-10,23,"SYSTEMS, METHODS, AND APPARATUSES FOR GENERATING A DIGITAL TWIN OF A RESOURCE USING PARTIAL SENSOR DATA AND ARTIFICIAL INTELLIGENCE",Yarabolu; Vijay Kumar et al.,2023-04-06,BANK OF AMERICA CORPORATION,20240338592,6.4569597
52,US-PGPUB,2024-10-10,32,METHODS OF QUALITY CONTROL FOR SOFTWARE-PROCESSED ECHOCARDIOGRAM,LAI; YUEH-CHUN et al.,2023-04-06,"Alpha Intelligence Manifolds, Inc.",20240338814,3.7020226
53,US-PGPUB,2024-10-10,17,WELLBORE DEVICE FUNCTION CONFIRMATION,YOHANAN; Tom et al.,2023-04-07,"Halliburton Energy Services, Inc.",20240339949,6.0669103
54,US-PGPUB,2024-10-10,18,SYSTEMS AND METHODS FOR GENERATING SYNTHETIC INFORMATION FOR APPLICATION PROGRAMMING INTERFACES USING ARTIFICIAL INTELLIGENCE,CURLEY; Kathryn,2023-04-06,"Capital One Services, LLC",20240338264,6.5056233
55,US-PGPUB,2024-10-10,24,RELIABLE AND INTERPRETABLE DRIFT DETECTION IN STREAMS OF SHORT TEXTS,Rabinovich; Ella et al.,2023-04-05,International Business Machines Corporation,20240339112,4.195982
56,US-PGPUB,2024-10-10,20,SYSTEM AND METHOD FOR DYNAMIC AUTOMATED WORK ASSIGNMENT,ALFONSO; Jonathan et al.,2023-04-04,"JPMorgan Chase Bank, N.A.",20240338624,5.378108
57,US-PGPUB,2024-10-10,11,Petunia-Calibrachoa Variety SAKPXC035,Tsukahara; Jun,2023-04-06,Sakata Seed Corporation,20240334893,3.6679657
58,US-PGPUB,2024-10-10,17,PET LAVATORY,White; Teresa Lynn,2023-04-05,White; Teresa Lynn,20240334896,4.9771295
59,US-PGPUB,2024-10-10,14,NETWORK OPERATOR CONTROLLED POWER UPDATE FOR PHYSICAL RESOURCE BLOCKS,Patel; Nishant et al.,2023-04-04,T-MOBILE INNOVATIONS LLC,20240340805,3.8203905
60,US-PGPUB,2024-10-10,16,DOMAIN ADAPTION FOR PROSTATE CANCER DETECTION,Kamen; Ali et al.,2023-04-06,Siemens Healthcare GmbH,20240338813,6.098396
61,US-PGPUB,2024-10-10,29,SYSTEMS AND METHODS FOR IMPROVING VULNERABILITY MANAGEMENT,"MADISON, JR.; Thaddeus et al.",2023-04-05,"Capital One Services, LLC",20240338455,6.16039
62,US-PGPUB,2024-10-10,24,Event-Based Analytics Tool for Networks,Singh; Dhruva et al.,2023-04-04,"AT&amp;T Intellectual Property I, L.P.",20240340216,2.986403
63,US-PGPUB,2024-10-10,29,Method and System of Improving Communication Skills for High Client Conversation Rate,Kobierski; David,2023-04-06,Kobierski; David,20240338525,4.0113935
64,US-PGPUB,2024-10-10,23,Voice Avatars in Extended Reality Environments,Astinov; Lyubomir et al.,2023-04-04,"Meta Platforms Technologies, LLC",20240339121,6.051241
65,US-PGPUB,2024-10-10,17,SOFTWARE COMPONENT DEPENDENCY TRACKER,Bendert; David P. et al.,2023-04-04,"Wells Fargo Bank, N.A.",20240338184,3.5813837
66,US-PGPUB,2024-10-10,29,SYSTEMS AND METHODS FOR A NET WORTH ALGORITHM FOR VULNERABILITIES,"MADISON, JR.; Thaddeus et al.",2023-04-05,"Capital One Services, LLC",20240338456,6.131775
67,US-PGPUB,2024-10-10,17,PUBLIC IP USAGE OPTIMIZATION,Patel; Prakash et al.,2023-04-04,DISH WIRELESS L.L.C.,20240340758,4.0961313
68,US-PGPUB,2024-10-10,26,System and Method for Fewer or No Non-Participant Framing and Tracking,Bhatt; Rajen B. et al.,2023-04-05,"Hewlett-Packard Development Company, L.P.",20240338924,4.9632044
69,US-PGPUB,2024-10-10,13,SYSTEM FOR AUTOMATICALLY GENERATING MERCHANDISE LISTINGS FROM SINGLE USER TEXT INPUT,Gibson; Brianna Nicole,2023-04-04,Gibson; Brianna Nicole,20240338753,6.045708
70,US-PGPUB,2024-10-10,56,AUTOMATIC DETECTION OF DISPLAY LAYOUT,CAMACHO PEREZ; Jose Rodrigo et al.,2023-04-06,Intel Corporation,20240338161,3.5775347
71,US-PGPUB,2024-10-10,23,AI DRIVEN IMPACT ESTIMATION OF NEW PRODUCT FEATURES,Chintakunta; Mouleswara Reddy et al.,2023-04-07,"KYNDRYL, INC.",20240338631,5.053158
72,US-PGPUB,2024-10-10,24,APPARATUSES AND METHODS FOR FACILITATING SPATIAL-TEMPORAL SIGNAL ADAPTATIONS IN COMMUNICATIONS BASED ON MODELING,Kounev; Velin et al.,2023-04-05,"AT&amp;T Intellectual Property I, L.P.",20240337750,4.8809576
73,US-PGPUB,2024-10-10,22,ENHANCED ELECTRICITY LIMITATION ENFORCEMENT DURING APPLICATION RUNTIME,FRANCIS; Robert Binneweg et al.,2023-04-06,"MICROSOFT TECHNOLOGY LICENSING, LLC",20240338067,3.3007133
74,US-PGPUB,2024-10-10,25,SYSTEM AND METHOD TO GENERATE SCHEDULE FOR PRODUCT RELEASE,Melanson; Mark R. et al.,2023-04-07,"Melanson; Mark R.,Bartos; Despina,Zhitomirsky; Inna M.,Mickey; Alan S.,Marques; Luis Sergio",20240338625,3.602159
75,US-PGPUB,2024-10-10,11,ACTIVITY REMINDERS,DeMerchant; Marvin,2023-04-04,Sony Group Corporation,20240340500,5.7631106
76,US-PGPUB,2024-10-10,14,SYSTEMS AND METHODS FOR ADJUSTING FRAME RATE OF GRAPHICS INTENSIVE APPLICATIONS BASED ON PRIORITY TO IMPROVE INFORMATION HANDLING SYSTEM PERFORMANCE,Singh; Jasleen et al.,2023-04-04,DELL PRODUCTS L.P.,20240338787,3.5900087
77,US-PGPUB,2024-10-10,34,TECHNIQUES FOR TRANSITIONING RADIO RESOURCE CONTROL STATE OF A REPEATER,AKL; Naeem et al.,2023-04-05,QUALCOMM Incorporated,20240340994,2.6263862
78,US-PGPUB,2024-10-10,13,COMPUTERIZED SYSTEMS AND METHODS FOR LOCATION-BASED CONTENT FILTERING AND DELIVERY,WU; Xue et al.,2023-04-07,YAHOO ASSETS LLC,20240338744,4.8487296
79,US-PGPUB,2024-10-10,16,MAGNESIUM SULFATE AND FORSKOLIN FOR TREATMENT OF SEXUAL DISORDERS AND BENIGN PROSTATIC HYPERPLASIA,Omoigui; Sota Osemwota,2023-04-06,"State-of-the-Art Technologies, Inc.",20240335371,3.0835872
80,US-PGPUB,2024-10-10,18,SYSTEMS AND METHODS FOR FACILITATING INTENT LABELING FOR MACHINE LEARNING MODEL TRAINING,WOLFE; Nathan et al.,2023-04-06,"Capital One Services, LLC",20240338528,3.4473934
81,US-PGPUB,2024-10-10,24,DIGITAL CONTENT MANAGEMENT IN VIRTUAL ENVIRONMENTS,NG; Spencer William et al.,2023-04-04,Roblox Corporation,20240338408,4.0744286
82,US-PGPUB,2024-10-10,23,Cloud-Delivered Hooks and Hooking Policies,"Foster, JR.; Blair C. et al.",2023-04-04,"CrowdStrike, Inc.",20240338228,3.6662319
83,US-PGPUB,2024-10-10,29,PERFORMING AUTOMATED TICKET CLASSIFICATION,Liu; Chunming et al.,2023-04-10,Oracle International Corporation,20240338594,2.7727363
84,US-PGPUB,2024-10-10,19,System and Method for Supporting RDF/OWL Forward Chaining and Hidden Facts Prediction in Property Graph,Neelam; Sumit et al.,2023-04-05,INTERNATIONAL BUSINESS MACHINES CORPORATION,20240338581,3.633321
85,US-PGPUB,2024-10-10,37,STATIC UNIFORMITY CORRECTION FOR A SCANNING PROJECTOR PERFORMING CONSECUTIVE NON-LINEAR SCAN WITH MULTI-RIDGE LIGHT SOURCES,Greif; Daniel Guenther et al.,2023-04-04,"Meta Platforms Technologies, LLC",20240337832,5.8453383
86,US-PGPUB,2024-10-10,33,PLATFORM-AGNOSTIC COMPUTE INSTANCE LAUNCHES,Herman; Jonathan Luke et al.,2023-04-07,Oracle International Corporation,20240340336,5.2665424
87,US-PGPUB,2024-10-10,21,INFERRING QOE DEGRADATION FROM IMPLICIT SIGNALS IN USER BEHAVIOR,MERMOUD; Gr?gory et al.,2023-04-05,"Cisco Technology, Inc.",20240340228,4.631881
88,US-PGPUB,2024-10-10,31,SOFTWARE PARAMETER MANAGEMENT THROUGH A UNIVERSAL INTERFACE,MATSUSHITA; Nozomu et al.,2023-04-07,"Taiwan Semiconductor Manufacturing Company, Ltd.",20240338115,3.1708274
89,US-PGPUB,2024-10-10,20,MACHINE LEARNING SYSTEMS AND METHODS FOR AUTOMATED GENERATION OF TECHNICAL REQUIREMENTS DOCUMENTS,Balasubramanian; Ashok et al.,2023-04-06,Open Weaver Inc.,20240338659,5.7447248
90,US-PGPUB,2024-10-10,29,SYSTEMS AND METHODS FOR CLASSIFYING WAVEFORM DATA USING AN AI MODEL,Pardasani; Rohit et al.,2023-04-04,GE Precision Healthcare LLC,20240335171,5.550851
91,US-PGPUB,2024-10-10,12,CONTAINER LIFTING DEVICES AND METHODS FOR LIFTING CONTAINERS,Kaul; Lukas Sebastian,2023-04-04,"Toyota Research Institute, Inc.",20240336464,4.1143746
92,US-PGPUB,2024-10-10,25,FOURIER TRANSFORM PROFILOMETRY WITH A DUAL READOUT SENSOR,CHEN; Song et al.,2023-04-04,"Meta Platforms Technologies, LLC",20240340404,5.833989
93,US-PGPUB,2024-10-10,11,SYSTEM AND METHOD FOR ASSESSING WORKER JOB PERFORMANCE FITNESS,AL ZAHRANI; Turki G. et al.,2023-04-10,SAUDI ARABIAN OIL COMPANY,20240338639,5.0457525
94,US-PGPUB,2024-10-10,20,SYSTEM AND METHOD FOR RESOURCE AND COST SHARING AMONG MOBILE SERVICE PROVIDERS SUPPORTING METAVERSE SERVICES,Lee; Bo et al.,2023-04-07,"AT&amp;T Intellectual Property I, L.P.",20240340378,4.5582128
95,US-PGPUB,2024-10-10,14,DIVERSITY GAIN FOR SPACE MOBILE SYSTEMS,OZOZLU; Akin et al.,2023-04-04,T-MOBILE INNOVATIONS LLC,20240340081,3.7450435
